Developer,Active,City,Country,Est.,"Notable games, series or franchises",Notes
"Terri, Dose, Kitty and JW",0,London,United Kingdom,2003-07-26 00:00:00,DISC ROOM,
Chequered Ink Ltd.,1,San Francisco,United States,2000-02-06 00:00:00,"Maddening Euphoria, NAL Is Alive, Gyro Boss DX, Ne Touchez Pas 5, Plunder Dungeons",
Troika Games,1,Stockholm,Sweden,2002-04-19 00:00:00,"Arcanum: Of Steamworks and Magick Obscura, Vampire: The Masquerade - Bloodlines",
Cooper Bruchez,1,Austin,United States,1975-02-07 00:00:00,JAAHG: The Crows Cry,Edge administration their sound threat conference.
Flazm,1,Stockholm,Sweden,2007-08-18 00:00:00,Time Loader,
Dylan Loney,0,San Francisco,United States,1979-03-10 00:00:00,Words for Evil,
3dm_live_wallpapers,1,Toronto,Canada,1991-12-31 00:00:00,"Energy Engine PC Live Wallpaper, Planet Evolution PC Live Wallpaper, MY FOX - Desktop Wild Pet, DESKTOP MONKEY, Desktop Farm",
みなとカーニバルWorld,1,Austin,United States,1993-12-21 00:00:00,Kurokami-sama's Feast,
"LCG Entertainment, Inc.,Telltale",1,Austin,United States,2015-08-10 00:00:00,"The Telltale Batman Shadows Edition, The Wolf Among Us",
Traveller's Tales,1,Stockholm,Sweden,1979-05-25 00:00:00,"LEGO® The Lord of the Rings™, LEGO® Pirates of the Caribbean: The Video Game, LEGO® Harry Potter: Years 5-7, LEGO® Star Wars™ III - The Clone Wars™, LEGO® City Undercover",You medical pick crime feeling heart.
Playful Studios,1,Stockholm,Sweden,2015-11-16 00:00:00,New Super Lucky's Tale,Security above leader piece.
Sky Drake Studios,1,Amsterdam,Netherlands,1990-11-21 00:00:00,Dragon: The Game,
Breadcrumbs,1,Kyoto,Japan,2018-01-20 00:00:00,Yaga,
The Fullbright Company,1,Austin,United States,2014-02-05 00:00:00,Gone Home,
BT Studios,0,Melbourne,Australia,1975-10-07 00:00:00,"Lost In Dungeon, Deadly Traps, Fallen, The Curse of Zigoris, Deceased",Someone painting country relationship town.
英雄远征，激战传奇竞技！,1,Seoul,South Korea,2017-09-30 00:00:00,混沌骑士,
Home Point Games,0,Austin,United States,2008-10-27 00:00:00,Mythlink,
Rose City Games,1,Berlin,Germany,1980-04-16 00:00:00,"The World Next Door, Floppy Knights",
Professional Imagination,1,Tokyo,Japan,1994-05-08 00:00:00,"Max, an Autistic Journey",Grow race discover under.
Endava,1,Paris,France,1989-04-23 00:00:00,"Blood Rage: Digital Edition, Catan Universe",Low general performance leave gas situation meeting.
htaidisgust,1,Montreal,Canada,1998-03-12 00:00:00,"Hentai Devil, Hentai Pool, Hentai Pink, Hentai Beach, Hentai Miko",
Fiddlesticks Games,1,Los Angeles,United States,1993-04-07 00:00:00,Hue,
Undead Labs,1,Berlin,Germany,1977-09-16 00:00:00,"State of Decay, State of Decay: YOSE, State of Decay 2: Juggernaut Edition",
Evil Mojo Games,1,Stockholm,Sweden,1999-04-20 00:00:00,"Paladins, Paladins®",
bananadev.,1,Austin,United States,2019-09-05 00:00:00,Paint Warfare,
Gunfire Games,1,Paris,France,2014-08-20 00:00:00,"Darksiders III, Remnant II, Remnant: From the Ashes, Chronos: Before the Ashes",
One More Level and 3D Realms,1,Kyoto,Japan,2014-08-03 00:00:00,Ghostrunner,
Rocket Monster Games,1,Seoul,South Korea,2005-03-28 00:00:00,"Santa's Workshop, Trainspotting Simulator, Super BoxMan Ultra",
HawkX Games,1,Austin,United States,1980-11-19 00:00:00,"Porndle, pWordle",
Survios,0,Austin,United States,2009-11-07 00:00:00,"Raw Data, Battlewake, Westworld Awakening, Creed: Rise to Glory™, Sprint Vector",
Arkane Austin,1,Los Angeles,United States,2003-11-03 00:00:00,Redfall,Country far sign month question kitchen cup.
剑域情缘,1,Seattle,United States,1975-08-21 00:00:00,剑域情缘,
Troca O Jogo,1,Amsterdam,Netherlands,2015-06-02 00:00:00,Escape From This Planet,Through couple firm possible within smile affect.
Vuthax,1,Melbourne,Australia,2019-09-03 00:00:00,Wizhood: The Epic of Freedom,
Fabraz,1,Austin,United States,2001-12-16 00:00:00,"Planet Diver, Demon Turf: Trials, Slime-san: Superslime Edition, Demon Turf, Slime-san: Blackbird's Kraken",Step include free.
"Dreams Uncorporated, SYCK",1,Seattle,United States,2015-07-31 00:00:00,Cris Tales,
Batterystaple Games,1,Toronto,Canada,1987-03-03 00:00:00,30XX,
Ubisoft Montpellier,1,Montreal,Canada,1991-10-31 00:00:00,"From Dust, Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™, Valiant Hearts: The Great War, Space Junkies™",Social build might along term loss.
Monomi Park,1,Singapore,Singapore,2006-09-12 00:00:00,"Slime Rancher 2, Slime Rancher",
Asymmetric,1,Singapore,Singapore,1995-11-30 00:00:00,"West of Loathing, Shadows Over Loathing",
Real Pixel Game,1,Berlin,Germany,1984-07-11 00:00:00,Quantum Project,
KT Racing,0,Boston,United States,2008-08-20 00:00:00,"WRC 5 FIA World Rally Championship, TT Isle of Man Ride on the Edge, WRC 8 FIA World Rally Championship, WRC Generations – The FIA WRC Official Game, TT Isle of Man Ride on the Edge 2",
Nine Dots Studio,1,Melbourne,Australia,2014-08-29 00:00:00,"Outward, GoD Factory: Wingmen, Outward Definitive Edition",
Yume Creations,1,Paris,France,2011-11-10 00:00:00,"Aozora Meikyuu, Yume Memory, Yume Puzzle, Apprehend;Girlfriend, Games&Girls",
Puuba,1,Toronto,Canada,1978-04-15 00:00:00,"The Weaponographist, Concursion, The Metronomicon: Slay The Dance Floor",
Mohawk Games,1,London,United Kingdom,2001-08-15 00:00:00,"Offworld Trading Company, Old World",
Twirlbound,1,Tokyo,Japan,1976-12-08 00:00:00,Pine,Reason writer him finish start agent.
Waidy Andrade,1,Los Angeles,United States,1976-09-15 00:00:00,"Sneaky Rat, Lighton, Puzzle Light: Connect, Lit Up, Lighton: Duo",
Kavasoft,1,Melbourne,Australia,2015-05-01 00:00:00,Hyperblade,
Fluid Control Games,1,Berlin,Germany,1995-09-08 00:00:00,Old Boy,
"KAIKO, Vigil Games",1,Toronto,Canada,2015-07-02 00:00:00,Darksiders Warmastered Edition,
Lena Raine,1,Tokyo,Japan,1998-07-10 00:00:00,ESC,
JoshCorp,1,Melbourne,Australia,2018-03-05 00:00:00,Toddler Simulator,Sport third cup whole determine.
Rixment,1,Stockholm,Sweden,2005-02-03 00:00:00,Rocket Craze 3D,
수석 재단사,1,Seattle,United States,2009-06-25 00:00:00,Cat Town,
futurelovegame,1,San Francisco,United States,1992-01-12 00:00:00,机忆,
Silent Dreams,1,Tokyo,Japan,1994-12-20 00:00:00,"Grotesque Tactics 2 – Dungeons and Donuts, Skilltree Saga, Grotesque Tactics: Evil Heroes, Holy Avatar vs. Maidens of the Dead, Dead Age",Yeah red artist sign reach.
Ubisoft Blue Byte,1,Kyoto,Japan,2006-12-27 00:00:00,"Anno 1701 History Edition, The Settlers® : Rise of an Empire - History Edition, Anno 2070, The Settlers® 7 : History Edition, Anno 1404 History Edition",Growth card each line standard book.
Out of the Park Developments,1,Paris,France,2016-03-22 00:00:00,"Out of the Park Baseball 23, Out of the Park Baseball 20, Out of the Park Baseball 22, Out of the Park Baseball 17, Out of the Park Baseball 21",Put worry manage boy clear free health.
guilemus,1,Tokyo,Japan,2014-01-22 00:00:00,"Blacksmith Weapon Merchant, Winnie-the-Pooh's book writing speedrunner, Idling Gears, Running in the Y2K, Ducks' Wrath",
SuloSounds Oy,1,Tokyo,Japan,1996-02-12 00:00:00,SAIVO,
EGGTART,1,Boston,United States,2007-09-18 00:00:00,Zombiflux: Sleepless War,Ground because charge day himself people.
Vendel Games,1,Los Angeles,United States,2016-11-02 00:00:00,"Spirit of Revenge: Cursed Castle Collector's Edition, Love Chronicles: The Spell Collector's Edition, Magic Encyclopedia: Moon Light, Love Chronicles: A Winter's Spell Collector's Edition, Love Chronicles: The Sword and the Rose",
Sucurema GmbH,1,Stockholm,Sweden,1982-12-06 00:00:00,Pandora,
The Wandering Band LLC,1,Los Angeles,United States,1999-07-09 00:00:00,Airborne Kingdom,
Xform,1,Seattle,United States,1990-04-01 00:00:00,"Super Man Or Monster, Burnin' Rubber 5 HD",
RedStarGames,1,Toronto,Canada,1994-11-17 00:00:00,DICHOTOMY,
MatthewHall3D,1,Austin,United States,2010-12-31 00:00:00,Hitchhiker,
Playtonic Games,1,Vancouver,Canada,2017-04-11 00:00:00,"Yooka-Laylee, Yooka-Laylee and the Impossible Lair",
Eden Agency,1,Kyoto,Japan,1976-12-24 00:00:00,"Barrels Up, Boofle's Home",
Darkflow Software,1,Stockholm,Sweden,2009-12-01 00:00:00,CRSED: F.O.A.D.,Fast start left one ball.
PikPok,1,London,United Kingdom,2000-04-19 00:00:00,"Agent Intercept, Rival Stars Horse Racing: Desktop Edition, Breakneck, Shatter Remastered Deluxe",
SFS Studios,1,Kyoto,Japan,1998-06-21 00:00:00,"Inevitability, Operation Zeta, Rekindling, Goo Gladiators",
Loot Inside,1,Austin,United States,1996-07-22 00:00:00,"Arcade Squad, Horse Riding Deluxe, HRD 3 Pegasus Island, Horse Riding Deluxe 2",Relate author too participant thought history thought.
Reforged Group,1,Stockholm,Sweden,1981-11-04 00:00:00,"Funny Street Football, Endless Crawler, Mistrun, Electric, Hoverboard Chase",Economic benefit reduce raise condition difference life budget.
Marshall Games,0,Melbourne,Australia,1977-07-03 00:00:00,Star Trapper FX,
KIDFansClub,1,Melbourne,Australia,2004-09-19 00:00:00,候鸟,
Saikono,1,Melbourne,Australia,2020-03-19 00:00:00,"Tiny Bunny: Prologue, Tiny Bunny",
Malkyrs Studio,1,Los Angeles,United States,2023-08-10 00:00:00,Malkyrs,
李子卫,1,Austin,United States,1997-10-11 00:00:00,Glass Bridge,
Thousand Nights Studio,0,Amsterdam,Netherlands,2009-05-19 00:00:00,ReflexShot,Spring itself bit me financial.
Drix Studios,1,Berlin,Germany,2016-09-29 00:00:00,"Unaided: 1939, Grand Guilds",
Beşinci Kural A.Ş.,1,Berlin,Germany,1977-10-21 00:00:00,Earth's Center of Gravity,
LG Project,1,Kyoto,Japan,1990-12-27 00:00:00,Lust Girl,
Dave Brake Creations,1,Warsaw,Poland,2006-11-16 00:00:00,Bud Blitz,
Catalope Games,1,San Francisco,United States,2000-10-06 00:00:00,Scrap Galaxy,Partner when hold.
Astero,1,Berlin,Germany,2016-03-05 00:00:00,Dark Zone,Training meeting serve hot.
"Gamieon, Inc.",1,Montreal,Canada,2013-02-04 00:00:00,Hyperspace Pinball,Meeting party piece last.
Light Up Game Studios,1,Amsterdam,Netherlands,2002-01-08 00:00:00,EverWorld,
BrickCream,1,Warsaw,Poland,1985-02-02 00:00:00,"Neko Nyaa~, Disoriented",
COCOSOLA,1,Kyoto,Japan,1991-06-05 00:00:00,The Witch's Isle,
Gentleman Squid Studio,1,Helsinki,Finland,1986-05-16 00:00:00,Three Dead Zed,Different book woman rule.
Denis Lapiner,0,Singapore,Singapore,2015-09-08 00:00:00,Mad Snowboarding,Run include southern sell others.
Oliver Orlowski,0,Paris,France,1986-11-05 00:00:00,Mind The Pipes!,More identify care account.
Angry Moose,1,Warsaw,Poland,1997-07-10 00:00:00,Sandbox Testing Game,Wide future animal sure message.
RedLeg,1,Amsterdam,Netherlands,1980-12-08 00:00:00,Park Life - Circuit of Happiness -,Oil later simple moment administration gas.
MANGLEDmaw Games,1,Stockholm,Sweden,1986-09-16 00:00:00,Amanda the Adventurer,
tsmspace,1,San Francisco,United States,1989-07-10 00:00:00,Ace Racers SP,
Henry Driver,0,Boston,United States,2021-06-11 00:00:00,Secrets Of Soil,
L2 Games,1,Helsinki,Finland,1991-09-21 00:00:00,She Will Punish Them,Discuss film sound laugh parent help.
